gbifID	datasetKey	occurrenceID	kingdom	phylum	class	order	family	genus	species	infraspecificEpithet	taxonRank	scientificName	verbatimScientificName	verbatimScientificNameAuthorship	countryCode	locality	stateProvince	occurrenceStatus	individualCount	publishingOrgKey	decimalLatitude	decimalLongitude	coordinateUncertaintyInMeters	coordinatePrecision	elevation	elevationAccuracy	depth	depthAccuracy	eventDate	day	month	year	taxonKey	speciesKey	basisOfRecord	institutionCode	collectionCode	catalogNumber	recordNumber	identifiedBy	dateIdentified	license	rightsHolder	recordedBy	typeStatus	establishmentMeans	lastInterpreted	mediaType	issue
3948248006	b4320ef2-9abb-4f3c-a3b7-33120fdbb715	BSRU-AC-0089	Animalia	Arthropoda	Insecta	Hymenoptera	Apidae	Tetragonula			GENUS	Tetragonula Moure, 1961	Tetragonula (Tetragonula)		TH	Mae Wong National Park	Kamphaeng Phet	PRESENT	1	57d75cbe-04e9-4d85-ae73-03674b041849	16.040417	99.2331			301.0				2007-09-03/2007-09-10		9	2007	1344522		PRESERVED_SPECIMEN					P. Nalinrachatakan (2022-10)		CC_BY_NC_4_0		W. Srilopean			2025-07-05T03:49:40.550Z	StillImage	COORDINATE_ROUNDED;GEODETIC_DATUM_INVALID;GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT
3948248005	b4320ef2-9abb-4f3c-a3b7-33120fdbb715	BSRU-AC-0088	Animalia	Arthropoda	Insecta	Hymenoptera	Apidae	Tetragonula			GENUS	Tetragonula Moure, 1961	Tetragonula (Tetragonula)		TH	Mae Wong National Park	Kamphaeng Phet	PRESENT	1	57d75cbe-04e9-4d85-ae73-03674b041849	16.040417	99.2331			301.0				2007-09-03/2007-09-10		9	2007	1344522		PRESERVED_SPECIMEN					P. Nalinrachatakan (2022-10)		CC_BY_NC_4_0		W. Srilopean			2025-07-05T03:49:40.550Z	StillImage	COORDINATE_ROUNDED;GEODETIC_DATUM_INVALID;GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT
3948248004	b4320ef2-9abb-4f3c-a3b7-33120fdbb715	BSRU-AC-0087	Animalia	Arthropoda	Insecta	Hymenoptera	Apidae	Tetragonula			GENUS	Tetragonula Moure, 1961	Tetragonula (Tetragonula)		TH	Mae Wong National Park	Kamphaeng Phet	PRESENT	1	57d75cbe-04e9-4d85-ae73-03674b041849	16.040417	99.2331			301.0				2007-09-03/2007-09-10		9	2007	1344522		PRESERVED_SPECIMEN					P. Nalinrachatakan (2022-10)		CC_BY_NC_4_0		W. Srilopean			2025-07-05T03:49:40.550Z	StillImage	COORDINATE_ROUNDED;GEODETIC_DATUM_INVALID;GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT
3948248003	b4320ef2-9abb-4f3c-a3b7-33120fdbb715	BSRU-AC-0086	Animalia	Arthropoda	Insecta	Hymenoptera	Apidae	Tetragonula			GENUS	Tetragonula Moure, 1961	Tetragonula (Tetragonula)		TH	Mae Wong National Park	Kamphaeng Phet	PRESENT	1	57d75cbe-04e9-4d85-ae73-03674b041849	16.040417	99.2331			301.0				2007-09-03/2007-09-10		9	2007	1344522		PRESERVED_SPECIMEN					P. Nalinrachatakan (2022-10)		CC_BY_NC_4_0		W. Srilopean			2025-07-05T03:49:40.550Z	StillImage	COORDINATE_ROUNDED;GEODETIC_DATUM_INVALID;GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT
3948248002	b4320ef2-9abb-4f3c-a3b7-33120fdbb715	BSRU-AC-0085	Animalia	Arthropoda	Insecta	Hymenoptera	Apidae	Tetragonula			GENUS	Tetragonula Moure, 1961	Tetragonula (Tetragonula)		TH	Mae Wong National Park	Kamphaeng Phet	PRESENT	1	57d75cbe-04e9-4d85-ae73-03674b041849	16.040417	99.2331			301.0				2007-09-03/2007-09-10		9	2007	1344522		PRESERVED_SPECIMEN					P. Nalinrachatakan (2022-10)		CC_BY_NC_4_0		W. Srilopean			2025-07-05T03:49:40.550Z	StillImage	COORDINATE_ROUNDED;GEODETIC_DATUM_INVALID;GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT
3948248001	b4320ef2-9abb-4f3c-a3b7-33120fdbb715	BSRU-AC-0084	Animalia	Arthropoda	Insecta	Hymenoptera	Apidae	Tetragonula			GENUS	Tetragonula Moure, 1961	Tetragonula (Tetragonula)		TH	Mae Wong National Park	Kamphaeng Phet	PRESENT	1	57d75cbe-04e9-4d85-ae73-03674b041849	16.040417	99.2331			301.0				2007-09-03/2007-09-10		9	2007	1344522		PRESERVED_SPECIMEN					P. Nalinrachatakan (2022-10)		CC_BY_NC_4_0		W. Srilopean			2025-07-05T03:49:40.550Z	StillImage	COORDINATE_ROUNDED;GEODETIC_DATUM_INVALID;GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT
3948248000	b4320ef2-9abb-4f3c-a3b7-33120fdbb715	BSRU-AC-0083	Animalia	Arthropoda	Insecta	Hymenoptera	Apidae	Tetragonula			GENUS	Tetragonula Moure, 1961	Tetragonula (Tetragonula)		TH	Mae Wong National Park	Kamphaeng Phet	PRESENT	1	57d75cbe-04e9-4d85-ae73-03674b041849	16.040417	99.2331			301.0				2007-09-03/2007-09-10		9	2007	1344522		PRESERVED_SPECIMEN					P. Nalinrachatakan (2022-10)		CC_BY_NC_4_0		W. Srilopean			2025-07-05T03:49:40.550Z	StillImage	COORDINATE_ROUNDED;GEODETIC_DATUM_INVALID;GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT
3948247999	b4320ef2-9abb-4f3c-a3b7-33120fdbb715	BSRU-AC-0082	Animalia	Arthropoda	Insecta	Hymenoptera	Apidae	Tetragonula			GENUS	Tetragonula Moure, 1961	Tetragonula (Tetragonula)		TH	Mae Wong National Park	Kamphaeng Phet	PRESENT	1	57d75cbe-04e9-4d85-ae73-03674b041849	16.040417	99.2331			301.0				2007-09-03/2007-09-10		9	2007	1344522		PRESERVED_SPECIMEN					P. Nalinrachatakan (2022-10)		CC_BY_NC_4_0		W. Srilopean			2025-07-05T03:49:40.549Z	StillImage	COORDINATE_ROUNDED;GEODETIC_DATUM_INVALID;GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT
3948247998	b4320ef2-9abb-4f3c-a3b7-33120fdbb715	BSRU-AC-0081	Animalia	Arthropoda	Insecta	Hymenoptera	Halictidae	Ctenonomia			GENUS	Ctenonomia Cameron, 1903	Lasioglossum (Ctenonomia)		TH	Thung Salaeng Luang National Park	Phitsanulok	PRESENT	1	57d75cbe-04e9-4d85-ae73-03674b041849	16.838667	100.863167			507.0				2007-02-03/2007-02-11		2	2007	4571947		PRESERVED_SPECIMEN					P. Nalinrachatakan (2022-10)		CC_BY_NC_4_0		Pongpitak			2025-07-05T03:49:40.549Z	StillImage	COORDINATE_ROUNDED;GEODETIC_DATUM_INVALID;GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT
3948247997	b4320ef2-9abb-4f3c-a3b7-33120fdbb715	BSRU-AC-0080	Animalia	Arthropoda	Insecta	Hymenoptera	Halictidae	Ctenonomia			GENUS	Ctenonomia Cameron, 1903	Lasioglossum (Ctenonomia)		TH	Thung Salaeng Luang National Park	Phitsanulok	PRESENT	1	57d75cbe-04e9-4d85-ae73-03674b041849	16.838667	100.863167			507.0				2007-02-03/2007-02-11		2	2007	4571947		PRESERVED_SPECIMEN					P. Nalinrachatakan (2022-10)		CC_BY_NC_4_0		Pongpitak			2025-07-05T03:49:40.549Z	StillImage	COORDINATE_ROUNDED;GEODETIC_DATUM_INVALID;GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT
